wavelength_nm,flux
6.000000000000000000e+02,1.457999999999999963e+00
6.064102564102564656e+02,4.062999999999999723e+00
6.128205128205128176e+02,5.698000000000000398e+00
6.192307692307692832e+02,1.255700000000000038e+01
6.256410256410256352e+02,1.399099999999999966e+01
6.320512820512821008e+02,2.269200000000000017e+01
6.384615384615384528e+02,2.710000000000000142e+01
6.448717948717949184e+02,2.774699999999999989e+01
6.512820512820512704e+02,3.246300000000000097e+01
6.576923076923077360e+02,5.206600000000000250e+01
6.641025641025640880e+02,1.000079999999999956e+02
6.705128205128205536e+02,1.601959999999999980e+02
6.769230769230769056e+02,2.289939999999999998e+02
6.833333333333333712e+02,2.910199999999999818e+02
6.897435897435897232e+02,2.416289999999999907e+02
6.961538461538461888e+02,1.484430000000000121e+02
7.025641025641025408e+02,1.551980000000000075e+02
7.089743589743590064e+02,1.845790000000000077e+02
7.153846153846153584e+02,1.049129999999999967e+02
7.217948717948718240e+02,2.280499999999999972e+01
7.282051282051281760e+02,2.723799999999999955e+01
7.346153846153846416e+02,1.022459999999999951e+02
7.410256410256409936e+02,4.443659999999999854e+02
7.474358974358974592e+02,1.250182999999999993e+03
7.538461538461538112e+02,2.031596000000000004e+03
7.602564102564102768e+02,2.240105000000000018e+03
7.666666666666667425e+02,1.948702999999999975e+03
7.730769230769230944e+02,2.139146000000000186e+03
7.794871794871794464e+02,2.101797999999999774e+03
7.858974358974359120e+02,1.396239000000000033e+03
7.923076923076923777e+02,1.101493999999999915e+03
7.987179487179487296e+02,9.090099999999999909e+02
8.051282051282050816e+02,6.781459999999999582e+02
8.115384615384615472e+02,2.571179999999999950e+02
8.179487179487180128e+02,1.116110000000000042e+02
8.243589743589743648e+02,1.758549999999999898e+02
8.307692307692307168e+02,1.818580000000000041e+02
8.371794871794871824e+02,3.051360000000000241e+02
8.435897435897436480e+02,7.853579999999999472e+02
8.500000000000000000e+02,1.349585000000000036e+03
