wavelength_nm,flux
6.000000000000000000e+02,1.389000000000000012e+00
6.064102564102564656e+02,3.391999999999999904e+00
6.128205128205128176e+02,7.670000000000000151e-01
6.192307692307692832e+02,1.530999999999999917e+00
6.256410256410256352e+02,1.167999999999999927e+00
6.320512820512821008e+02,8.968999999999999417e+00
6.384615384615384528e+02,3.434000000000000163e+00
6.448717948717949184e+02,4.235000000000000320e+00
6.512820512820512704e+02,3.591000000000000192e+00
6.576923076923077360e+02,1.234099999999999930e+01
6.641025641025640880e+02,2.031599999999999895e+01
6.705128205128205536e+02,3.017099999999999937e+01
6.769230769230769056e+02,3.944800000000000040e+01
6.833333333333333712e+02,5.093399999999999750e+01
6.897435897435897232e+02,4.407999999999999829e+01
6.961538461538461888e+02,2.701500000000000057e+01
7.025641025641025408e+02,3.064300000000000068e+01
7.089743589743590064e+02,3.180699999999999861e+01
7.153846153846153584e+02,1.929799999999999827e+01
7.217948717948718240e+02,2.638999999999999790e+00
7.282051282051281760e+02,3.880999999999999783e+00
7.346153846153846416e+02,1.827700000000000102e+01
7.410256410256409936e+02,8.084699999999999420e+01
7.474358974358974592e+02,2.179110000000000014e+02
7.538461538461538112e+02,3.498199999999999932e+02
7.602564102564102768e+02,3.811739999999999782e+02
7.666666666666667425e+02,3.438380000000000223e+02
7.730769230769230944e+02,3.777579999999999814e+02
7.794871794871794464e+02,3.721419999999999959e+02
7.858974358974359120e+02,2.545020000000000095e+02
7.923076923076923777e+02,2.085699999999999932e+02
7.987179487179487296e+02,1.762410000000000139e+02
8.051282051282050816e+02,1.360879999999999939e+02
8.115384615384615472e+02,5.342000000000000171e+01
8.179487179487180128e+02,2.459100000000000108e+01
8.243589743589743648e+02,4.008200000000000074e+01
8.307692307692307168e+02,3.945000000000000284e+01
8.371794871794871824e+02,6.724599999999999511e+01
8.435897435897436480e+02,1.704230000000000018e+02
8.500000000000000000e+02,2.842409999999999854e+02
